Earth Launch to LEO,Earth Launch,1,3,Falcon Heavy,Falcon Heavy,LEO,,,
Earth Launch to LEO,Earth Launch,1,3,Delta IV-H,Delta IV-H,LEO,,,
Earth Launch to LEO,Earth Launch,1,3,70 mt,70 mt,LEO,,,
Earth Launch to LEO,Earth Launch,1,3,100 mt,100 mt,LEO,,,
Earth Launch to LEO,Earth Launch,1,3,130 mt,130 mt,LEO,,,
Earth Launch to Suborbital,Earth Launch,1,2,Falcon Heavy,Falcon Heavy,Suborbital,,,
Earth Launch to Suborbital,Earth Launch,1,2,70 mt,70 mt,Suborbital,,,
Earth Launch to Suborbital,Earth Launch,1,2,100 mt,100 mt,Suborbital,,,
Earth Launch to Suborbital,Earth Launch,1,2,130 mt,130 mt,Suborbital,,,
Suborbital Burn,Propulsive,2,3,LOX/LH2,2442,0.8574,LOX/LH2,0.1,Earth
Suborbital Burn,Propulsive,2,3,LOX/RP-1,2442,0.8574,LOX/RP-1,0.1,Earth
Suborbital Burn,Propulsive,2,3,LOX/CH4,2442,0.8574,LOX/CH4,0.1,Earth
Suborbital Burn,Propulsive,2,3,NTO/MMH,2442,0.8574,NTO/MMH,0.1,Earth
TLI from LEO,Propulsive,3,5,LOX/LH2,3274,0.3,LOX/LH2,5,Earth
TLI from LEO,Propulsive,3,5,LOX/RP-1,3274,0.3,LOX/RP-1,5,Earth
TLI from LEO,Propulsive,3,5,LOX/CH4,3274,0.3,LOX/CH4,5,Earth
TLI from LEO,Propulsive,3,5,NTO/MMH,3274,0.3,NTO/MMH,5,Earth
Refuel at LEO Depot,Refuel,3,4,Delta IV-H,14286,,,,
Refuel at LEO Depot,Refuel,3,4,Falcon 9,2358,,,,
TLI from LEO Propellant Depot,Propulsive,4,5,LOX/LH2,3274,0.3,LOX/LH2,5,Earth
TLI from LEO Propellant Depot,Propulsive,4,5,LOX/RP-1,3274,0.3,LOX/RP-1,5,Earth
TLI from LEO Propellant Depot,Propulsive,4,5,LOX/CH4,3274,0.3,LOX/CH4,5,Earth
TLI from LEO Propellant Depot,Propulsive,4,5,NTO/MMH,3274,0.3,NTO/MMH,5,Earth
Lunar Orbit Insertion,Propulsive,5,6,LOX/LH2,924,0.3,LOX/LH2,1,Moon
Lunar Orbit Insertion,Propulsive,5,6,LOX/RP-1,924,0.3,LOX/RP-1,1,Moon
Lunar Orbit Insertion,Propulsive,5,6,LOX/CH4,924,0.3,LOX/CH4,1,Moon
Lunar Orbit Insertion,Propulsive,5,6,NTO/MMH,924,0.3,NTO/MMH,1,Moon
Lunar Descent from LLO,Planetary Descent,6,8,LOX/LH2,2203,1.66,LOX/LH2,Moon,
Lunar Descent from LLO,Planetary Descent,6,8,LOX/RP-1,2203,1.66,LOX/RP-1,Moon,
Lunar Descent from LLO,Planetary Descent,6,8,LOX/CH4,2203,1.66,LOX/CH4,Moon,
Lunar Descent from LLO,Planetary Descent,6,8,NTO/MMH,2203,1.66,NTO/MMH,Moon,
Braking,Propulsive,6,7,LOX/LH2,1762,0.3,LOX/LH2,1,Moon
Braking,Propulsive,6,7,LOX/RP-1,1762,0.3,LOX/RP-1,1,Moon
Braking,Propulsive,6,7,LOX/CH4,1762,0.3,LOX/CH4,1,Moon
Braking,Propulsive,6,7,NTO/MMH,1762,0.3,NTO/MMH,1,Moon
Lunar Descent from Braking,Planetary Descent,7,8,LOX/LH2,441,1.66,LOX/LH2,Moon,
Lunar Descent from Braking,Planetary Descent,7,8,LOX/RP-1,441,1.66,LOX/RP-1,Moon,
Lunar Descent from Braking,Planetary Descent,7,8,LOX/CH4,441,1.66,LOX/CH4,Moon,
Lunar Descent from Braking,Planetary Descent,7,8,NTO/MMH,441,1.66,NTO/MMH,Moon,
Lunar Surface Mission,Surface Habitation,8,9,Sortie,Sortie,7,,,
Lunar Ascent,Planetary Ascent,9,10,LOX/LH2,1968,1.97,LOX/LH2,Moon,
Lunar Ascent,Planetary Ascent,9,10,LOX/RP-1,1968,1.97,LOX/RP-1,Moon,
Lunar Ascent,Planetary Ascent,9,10,LOX/CH4,1968,1.97,LOX/CH4,Moon,
Lunar Ascent,Planetary Ascent,9,10,NTO/MMH,1968,1.97,NTO/MMH,Moon,
